工作流名称,工作流Code,Cron表达式,状态,更新时间,备注
【HIVE】每日全量同步表,19900542260992,0 42 0 * * ? *,ONLINE,,泰国数仓-工作流
【HIVE】每日快照,19117411959046,"0 0 1,5 * * ? *",ONLINE,,sr宽表每日同步到hive
ods穿透率_gov,21437875284354,0 0 2 * * ? *,ONLINE,,数据治理ods穿透率
投放表日常调度,20091910711168,"0 53 4,7,12,13,14,16,18,9 * * ? *",ONLINE,,泰国数仓-工作流
泰国-宽表全量工作流（1D）,15523227433096,0 10 3 ? * MON *,OFFLINE,,宽表明细层
泰国-数仓工作流（1/2H）,21288747281152,0 3 * * * ? *,ONLINE,,ods到dwd全流程
泰国-数仓工作流（1/2H）_copy_20260422181439357,21430538157699,0 3 * * * ? *,OFFLINE,,ods到dwd全流程
泰国-数仓工作流（1/2H）（待删除）,16229221967129,0 3 * * * ? *,OFFLINE,,ods到dwd全流程
泰国-数仓工作流（1D）,13647245930769,"0 25 4,12 * * ? *",ONLINE,,ods到ads全流程
泰国-数仓工作流（1H）,12649399488000,"0 28 0,1,2,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,3 * * ? *",ONLINE,,dwb到ads全流程
泰国-数仓工作流（1M）,16230527778317,0 50 7 1 * ? *,ONLINE,,1个月调度
泰国-贷后组织架构快照（1D）,13743498305920,0 0 8 * * ? *,ONLINE,,每日快照
精准营销撞库,21496848392709,"0 0,30 * * * ? *",ONLINE,,泰国数仓-工作流
ADS_3100(1D),20135442887434,0 0 1 1 * ? *,OFFLINE,,ADS
HIVE-DWD(D-1),19737232803328,"0 20 0,12 * * ? *",OFFLINE,,泰国数仓-工作流
ODS_REPAY_PART,15831082913544,0 0 * * * ? *,OFFLINE,,ods_repay_lds_withdraw_order
ads_5min,20644290028800,0 1/5 * * * ? *,OFFLINE,,ads_3212_user_reg_to_repay_monitor_5min
data_quality_hive_sr_check_daily,20577796637568,0 0 6 * * ? *,ONLINE,,泰国数仓-数据质量
data_quality_hive_sr_check_daily_copy_20260212165046557,20666809159299,0 0 6 * * ? *,OFFLINE,,泰国数仓-数据质量
每12小时校验2级表数据(D-1),16797759930887,0 55 1/12 * * ? *,ONLINE,,泰国数仓-数据质量
每4小时校验1级表数据(D-1),16797747857415,0 55 1/4 * * ? *,ONLINE,,泰国数仓-数据质量
每天校验3级表数据(D-1),16797763369095,0 45 5 * * ? *,ONLINE,,泰国数仓-数据质量
每周校验全级别数据(M-3),14805585195648,0 50 5 ? * SUN *,ONLINE,,泰国数仓-数据质量
每月10日全级别校验数据(Y-2),14805585199488,0 45 7 10 * ? *,ONLINE,,泰国数仓-数据质量
每小时复验1级表数据(D-1),16894765522823,0 58 * * * ? *,ONLINE,,泰国数仓-数据质量
每小时复验2级表数据(D-1),16895013550849,0 35 * * * ? *,OFFLINE,,泰国数仓-数据质量
两小时复验3级表数据(D-1),16895013990785,0 35 1/2 * * ? *,OFFLINE,,泰国数仓-数据质量
每日复验全级别数据(W-1),17879415854720,0 35 6 * * ? *,OFFLINE,,泰国数仓-数据质量
每周复验全级别数据(M-3),17879415856640,0 35 6 ? * SUN *,OFFLINE,,泰国数仓-数据质量
每月11日复验全级别数据(Y-2),17879415857920,0 35 7 11 * ? *,OFFLINE,,泰国数仓-数据质量
